grade_2,grade_1,class_failures,higher_ed_encoded,higher_ed,student_id,school,school_encoded,mother_education_higher education,study_time_<2 hours,mother_education_primary education (4th grade),weekend_alcohol,mother_job,weekday_alcohol,school_choice_reason_reputation,final_grade
9,9,0,1,yes,101,GP,0,True,True,False,5,services,5,False,0.0
16,16,0,1,yes,102,GP,0,True,False,False,1,services,1,False,3.33
13,12,0,1,yes,103,GP,0,True,True,False,1,services,1,False,2.0
10,11,0,1,yes,104,GP,0,False,False,False,1,services,1,False,1.0
16,16,0,1,yes,105,GP,0,False,False,False,1,services,1,False,3.33
10,10,0,1,yes,106,GP,0,False,False,False,1,other,1,True,1.0
10,10,0,1,yes,107,GP,0,False,False,False,1,other,1,False,1.0
14,13,0,1,yes,108,GP,0,False,False,False,1,services,1,False,2.67
10,12,0,1,yes,109,GP,0,True,False,False,5,other,3,False,1.0
15,15,0,1,yes,110,GP,0,True,False,False,1,health,1,False,2.67
14,13,0,1,yes,111,GP,0,True,True,False,1,teacher,1,False,2.67
11,11,0,1,yes,112,GP,0,False,False,False,1,services,1,True,1.0
10,8,1,1,yes,113,GP,0,False,False,False,1,at_home,1,False,1.0
17,18,0,1,yes,114,GP,0,True,True,False,1,teacher,1,False,4.0
9,10,0,1,yes,115,GP,0,False,False,False,1,health,1,True,1.0
14,16,0,1,yes,116,GP,0,True,False,False,2,teacher,1,False,2.67
15,16,0,1,yes,117,GP,0,True,False,False,1,other,1,True,3.33
14,14,0,1,yes,118,GP,0,False,True,False,1,other,1,False,3.0
11,12,1,1,yes,119,GP,0,False,False,True,4,other,1,False,1.0
13,14,0,1,yes,120,GP,0,False,True,False,2,other,1,True,2.67
14,14,0,1,yes,121,GP,0,False,False,True,2,at_home,1,False,2.67
13,14,0,1,yes,122,GP,0,False,False,False,2,services,1,False,2.33
12,14,0,1,yes,123,GP,0,False,False,False,2,other,1,False,2.33
13,12,0,1,yes,124,GP,0,True,True,False,4,health,1,False,2.33
11,12,0,1,yes,125,GP,0,False,False,False,1,other,1,False,1.0
9,9,0,1,yes,126,GP,0,False,True,False,2,services,3,False,0.0
11,10,0,1,yes,127,GP,0,False,False,False,1,other,1,False,1.0
10,9,2,0,no,128,GP,0,False,False,False,1,at_home,1,False,1.0
14,14,0,1,yes,129,GP,0,True,True,False,5,teacher,2,False,3.0
12,13,0,1,yes,130,GP,0,False,False,False,2,other,2,False,2.33
11,10,0,1,yes,131,GP,0,False,False,False,2,services,2,False,2.0
9,10,3,0,no,132,GP,0,False,False,False,3,services,1,True,0.0
10,11,0,1,yes,133,GP,0,False,True,False,2,other,1,False,1.0
12,11,0,1,yes,134,GP,0,False,True,True,2,at_home,1,False,2.33
12,13,0,1,yes,135,GP,0,False,True,False,3,other,1,False,2.0
13,15,0,1,yes,136,GP,0,False,True,False,4,services,1,False,2.67
9,9,0,1,yes,137,GP,0,False,True,False,1,at_home,1,False,1.0
11,13,1,1,yes,138,GP,0,False,True,False,1,other,1,False,1.0
11,12,0,1,yes,139,GP,0,False,False,False,1,at_home,1,False,1.0
14,13,0,1,yes,140,GP,0,True,False,False,1,services,1,False,3.0
9,10,0,1,yes,141,GP,0,False,False,False,4,at_home,2,False,1.0
13,14,0,1,yes,142,GP,0,False,False,True,1,at_home,1,False,2.33
11,11,0,1,yes,143,GP,0,False,True,False,5,services,4,False,2.0
11,12,0,1,yes,144,GP,0,False,False,False,1,other,5,False,1.0
11,12,0,1,yes,145,GP,0,False,True,True,2,other,1,True,1.0
9,9,0,1,yes,146,GP,0,False,True,False,1,other,1,False,1.0
10,10,2,1,yes,147,GP,0,False,False,True,3,services,1,False,1.0
14,13,0,1,yes,148,GP,0,True,True,False,1,teacher,1,False,2.67
9,8,1,1,yes,149,GP,0,False,True,True,1,other,1,False,0.0
11,9,0,1,yes,150,GP,0,True,False,False,1,teacher,1,False,1.0
8,9,0,1,yes,151,GP,0,False,False,False,3,services,2,False,0.0
13,15,0,1,yes,152,GP,0,True,False,False,3,services,1,False,2.33
11,12,0,1,yes,153,GP,0,False,True,False,2,services,2,True,1.0
13,13,0,1,yes,154,GP,0,True,False,False,1,teacher,1,False,2.33
11,10,0,1,yes,155,GP,0,False,True,True,3,at_home,3,False,1.0
7,9,0,1,yes,156,GP,0,False,True,False,2,other,1,False,0.0
12,12,0,1,yes,157,GP,0,False,False,True,2,other,1,False,2.0
10,11,0,0,no,158,GP,0,False,True,False,1,at_home,1,False,1.0
11,11,1,1,yes,159,GP,0,False,False,False,1,health,1,False,1.0
12,13,0,1,yes,160,GP,0,False,False,True,1,at_home,1,False,2.33
11,11,0,1,yes,161,GP,0,False,False,True,4,at_home,2,False,1.0
9,9,0,0,no,162,GP,0,True,True,False,1,teacher,2,False,0.0
11,12,0,1,yes,163,GP,0,False,True,False,5,services,2,False,1.0
9,11,2,0,no,164,GP,0,False,True,True,5,other,2,False,0.0
10,9,1,1,yes,165,GP,0,False,True,False,5,at_home,3,False,1.0
13,13,0,1,yes,166,GP,0,False,False,False,3,services,2,True,2.33
9,11,0,0,no,167,GP,0,False,True,False,1,services,1,False,1.0
13,13,0,1,yes,168,GP,0,True,True,False,1,other,1,False,2.33
8,7,0,1,yes,169,GP,0,False,False,False,1,at_home,1,False,0.0
8,9,3,1,yes,170,GP,0,False,True,True,3,other,3,True,1.0
10,11,3,1,yes,171,GP,0,False,True,True,5,at_home,1,False,1.0
10,12,0,1,yes,172,GP,0,False,True,False,2,at_home,1,False,1.0
10,10,1,1,yes,173,GP,0,False,False,False,4,other,4,False,0.0
8,9,2,1,yes,174,GP,0,False,True,True,5,health,3,False,1.0
8,8,1,0,no,175,GP,0,False,True,False,2,at_home,2,False,0.0
6,7,2,1,yes,176,GP,0,False,False,False,4,other,1,False,0.0
9,8,0,1,yes,177,GP,0,False,True,True,4,other,2,False,1.0
8,9,1,0,no,178,GP,0,False,True,True,4,at_home,1,False,0.0
8,8,0,0,no,179,GP,0,False,False,True,5,other,1,False,0.0
7,8,3,0,no,180,GP,0,False,True,False,1,services,1,False,0.0
10,9,0,0,no,181,GP,0,False,False,False,4,other,2,False,1.0
17,17,0,1,yes,182,GP,0,True,False,False,1,health,1,False,4.0
12,12,0,1,yes,183,GP,0,False,False,False,1,other,1,False,2.33
16,16,0,1,yes,184,GP,0,True,False,False,1,health,1,True,3.67
9,9,1,1,yes,185,GP,0,False,True,False,4,other,2,False,1.0
17,16,0,1,yes,186,GP,0,False,False,True,1,other,1,True,4.0
9,11,0,1,yes,187,GP,0,True,False,False,3,teacher,1,True,1.0
13,14,0,1,yes,188,GP,0,False,False,True,1,at_home,1,False,2.33
14,14,0,1,yes,189,GP,0,False,False,False,1,other,1,True,3.0
11,10,0,1,yes,190,GP,0,True,False,False,4,teacher,4,False,1.0
12,13,0,1,yes,191,GP,0,False,False,False,4,services,1,True,2.67
9,11,0,1,yes,192,GP,0,False,False,False,4,other,1,True,1.0
9,10,0,1,yes,193,GP,0,True,True,False,4,teacher,3,False,1.0
11,11,0,1,yes,194,GP,0,True,False,False,1,other,1,False,2.33
10,11,0,1,yes,195,GP,0,True,False,False,3,teacher,2,False,1.0
12,11,0,1,yes,196,GP,0,False,False,False,2,services,1,False,2.33
18,17,0,1,yes,197,GP,0,False,False,False,3,services,2,True,3.67
13,14,0,1,yes,198,GP,0,False,False,False,3,other,2,True,2.67
15,14,0,1,yes,199,GP,0,False,False,False,2,other,1,True,3.33
13,11,0,1,yes,200,GP,0,False,False,False,3,services,2,False,2.67
9,10,0,1,yes,201,GP,0,False,True,True,2,services,1,False,1.0
14,13,0,1,yes,202,GP,0,False,False,False,2,other,1,False,3.33
13,12,0,1,yes,203,GP,0,False,False,False,3,health,1,True,2.67
9,9,0,1,yes,204,GP,0,False,False,True,5,at_home,1,False,1.0
12,12,0,1,yes,205,GP,0,False,False,False,1,services,1,False,2.33
11,12,0,1,yes,206,GP,0,False,False,True,1,at_home,1,False,2.0
11,10,0,1,yes,207,GP,0,False,False,True,5,at_home,4,False,2.0
10,11,0,1,yes,208,GP,0,False,True,False,4,services,3,True,1.0
12,13,0,1,yes,209,GP,0,False,True,False,1,other,1,False,2.0
15,14,0,1,yes,210,GP,0,False,False,False,1,services,1,False,3.33
13,13,0,1,yes,211,GP,0,True,True,False,2,services,1,False,2.67
11,10,0,1,yes,212,GP,0,False,True,False,5,teacher,3,False,2.0
15,14,1,1,yes,213,GP,0,True,True,False,3,services,2,False,3.33
10,11,0,1,yes,214,GP,0,True,False,False,2,teacher,1,True,1.0
14,14,0,1,yes,215,GP,0,True,False,False,5,health,1,False,3.0
12,11,0,1,yes,216,GP,0,False,False,False,3,other,1,True,2.0
15,14,0,1,yes,217,GP,0,False,False,True,3,other,1,False,3.0
13,13,0,1,yes,218,GP,0,False,True,False,2,other,1,True,2.33
13,13,0,1,yes,219,GP,0,False,False,False,1,services,1,True,2.33
9,8,1,1,yes,220,GP,0,False,False,False,4,at_home,3,False,0.0
11,11,0,1,yes,221,GP,0,False,False,False,2,services,2,False,2.0
15,14,0,1,yes,222,GP,0,True,False,False,1,teacher,1,False,3.0
13,12,0,1,yes,223,GP,0,False,True,True,4,at_home,1,False,2.33
12,11,0,1,yes,224,GP,0,True,False,False,1,teacher,1,True,2.0
12,12,0,1,yes,225,GP,0,False,False,False,2,other,1,True,2.0
12,13,0,1,yes,226,GP,0,True,False,False,5,services,4,False,2.0
13,13,0,1,yes,227,GP,0,False,False,False,1,other,1,True,2.33
11,12,0,1,yes,228,GP,0,False,False,False,4,services,2,False,1.0
11,12,0,1,yes,229,GP,0,True,True,False,2,services,1,False,1.0
16,14,0,1,yes,230,GP,0,False,False,False,3,other,1,True,3.0
9,11,0,1,yes,231,GP,0,True,False,False,4,other,2,True,1.0
10,10,0,1,yes,232,GP,0,False,False,False,4,services,2,False,1.0
13,12,0,1,yes,233,GP,0,False,True,False,4,at_home,1,False,2.33
12,12,0,1,yes,234,GP,0,False,False,False,1,at_home,1,False,2.33
10,11,0,1,yes,235,GP,0,False,False,False,2,at_home,1,True,1.0
12,12,0,1,yes,236,GP,0,False,False,True,1,at_home,1,True,2.0
13,13,0,1,yes,237,GP,0,False,False,False,1,services,1,False,2.67
9,10,3,1,yes,238,GP,0,False,False,False,5,other,5,False,1.0
16,15,0,1,yes,239,GP,0,True,False,False,1,teacher,1,False,3.33
8,8,0,1,yes,240,GP,0,False,False,False,1,other,1,True,0.0
18,17,0,1,yes,241,GP,0,False,False,False,3,other,1,False,3.67
11,10,0,1,yes,242,GP,0,False,False,False,3,services,1,True,1.0
10,9,0,1,yes,243,GP,0,False,False,False,5,at_home,4,False,1.0
15,15,0,1,yes,244,GP,0,False,False,False,2,other,1,False,3.33
12,14,0,1,yes,245,GP,0,True,False,False,2,health,1,True,2.0
13,12,0,1,yes,246,GP,0,False,False,False,1,other,1,False,2.33
13,13,0,1,yes,247,GP,0,True,False,False,3,teacher,1,True,2.33
13,13,0,1,yes,248,GP,0,True,False,False,4,health,2,True,2.67
9,9,0,1,yes,249,GP,0,False,False,True,1,other,1,False,0.0
12,12,0,1,yes,250,GP,0,False,False,False,3,at_home,1,True,2.0
16,16,0,1,yes,251,GP,0,False,False,False,5,other,5,False,3.33
10,9,0,1,yes,252,GP,0,False,True,False,1,other,1,False,1.0
13,14,0,1,yes,253,GP,0,True,False,False,2,other,1,False,2.33
10,10,1,1,yes,254,GP,0,False,False,False,1,services,1,False,1.0
8,9,1,1,yes,255,GP,0,False,False,False,1,at_home,1,False,1.0
7,8,1,0,no,256,GP,0,False,True,False,1,other,1,False,0.0
8,7,1,0,no,257,GP,0,False,True,False,2,other,2,False,0.0
8,10,0,1,yes,258,GP,0,True,True,False,2,teacher,1,False,0.0
14,14,0,1,yes,259,GP,0,False,False,False,1,other,1,False,3.0
10,11,0,1,yes,260,GP,0,False,False,True,2,at_home,1,False,1.0
11,12,0,0,no,261,GP,0,False,True,True,2,other,1,False,1.0
13,13,0,1,yes,262,GP,0,False,False,False,1,at_home,1,False,2.33
9,9,1,1,yes,263,GP,0,False,True,True,1,other,1,False,0.0
7,8,0,0,no,264,GP,0,False,False,False,5,other,3,True,0.0
9,11,1,0,no,265,GP,0,False,True,False,1,other,1,False,1.0
14,15,0,1,yes,266,GP,0,False,False,True,3,at_home,1,False,3.0
14,15,0,1,yes,267,GP,0,True,False,False,1,teacher,1,False,2.67
15,15,0,1,yes,268,GP,0,True,False,False,4,health,1,False,3.0
12,12,0,1,yes,269,GP,0,True,False,False,3,teacher,2,False,2.0
14,14,0,1,yes,270,GP,0,True,True,False,1,teacher,1,False,3.0
15,14,0,1,yes,271,GP,0,True,True,False,2,services,1,False,3.0
11,11,0,1,yes,272,GP,0,True,False,False,4,teacher,1,False,2.0
14,13,0,1,yes,273,GP,0,False,False,True,1,other,1,False,3.0
11,11,0,1,yes,274,GP,0,False,False,False,3,services,2,False,1.0
9,10,0,1,yes,275,GP,0,False,False,True,1,at_home,1,False,1.0
10,12,0,1,yes,276,GP,0,False,False,False,1,other,1,False,1.0
16,15,0,1,yes,277,GP,0,False,True,False,1,other,1,False,3.33
10,11,0,1,yes,278,GP,0,False,False,True,2,other,1,False,1.0
12,9,0,1,yes,279,GP,0,False,True,False,1,other,1,False,2.33
8,7,3,0,no,280,GP,0,False,True,False,5,services,5,False,0.0
9,10,0,1,yes,281,GP,0,False,False,False,3,other,1,False,1.0
12,11,0,1,yes,282,GP,0,False,True,False,4,other,2,False,1.0
8,7,0,0,no,283,GP,0,False,True,False,4,services,2,False,0.0
11,9,1,1,yes,284,GP,0,False,False,False,3,at_home,1,True,1.0
8,7,2,0,no,285,GP,0,False,True,False,5,services,2,False,0.0
13,14,0,1,yes,286,GP,0,False,True,False,3,other,1,False,2.0
12,12,0,1,yes,287,GP,0,False,True,False,4,other,2,False,2.33
10,9,1,1,yes,288,GP,0,False,True,True,2,health,1,False,1.0
12,12,0,1,yes,289,GP,0,False,False,False,3,other,1,False,2.33
15,14,0,1,yes,290,GP,0,True,False,False,1,teacher,1,True,3.67
10,10,0,1,yes,291,GP,0,False,False,False,1,services,1,False,1.0
10,11,1,0,no,292,GP,0,False,False,False,4,services,4,False,1.0
12,11,0,1,yes,293,GP,0,True,False,False,3,other,1,False,2.67
12,11,0,1,yes,294,GP,0,False,False,True,3,other,2,False,2.67
11,11,0,1,yes,295,GP,0,False,False,False,1,other,1,False,2.33
13,11,0,1,yes,296,GP,0,True,False,False,1,services,1,True,2.67
16,16,0,1,yes,297,GP,0,False,False,False,2,other,1,False,3.33
10,9,0,0,no,298,GP,0,False,True,False,1,other,1,False,1.0
11,10,0,1,yes,299,GP,0,False,False,False,1,services,1,False,2.0
12,10,0,0,no,300,GP,0,False,False,False,2,other,1,False,2.0
15,15,0,1,yes,301,GP,0,True,False,False,3,services,1,False,3.0
10,10,0,1,yes,302,GP,0,True,False,False,1,teacher,1,False,1.0
11,10,0,1,yes,303,GP,0,False,False,False,1,other,1,False,2.0
12,15,0,1,yes,304,GP,0,False,False,False,1,other,1,False,2.33
12,11,0,1,yes,305,GP,0,False,False,False,1,at_home,1,False,2.33
8,8,0,0,no,306,GP,0,False,True,False,3,other,2,False,0.0
16,15,0,1,yes,307,GP,0,False,False,False,4,other,3,True,3.33
11,11,0,1,yes,308,GP,0,False,False,False,4,services,3,False,2.67
11,10,0,1,yes,309,GP,0,True,False,False,2,teacher,2,True,2.0
12,10,0,1,yes,310,GP,0,True,False,False,3,health,1,True,2.67
9,8,0,0,no,311,GP,0,False,False,False,2,other,1,True,1.0
12,11,0,1,yes,312,GP,0,False,False,False,3,other,3,False,2.0
16,16,0,1,yes,313,GP,0,False,False,False,3,other,1,True,3.33
13,13,0,1,yes,314,GP,0,False,False,True,1,other,1,False,2.33
17,16,0,1,yes,315,GP,0,False,False,True,2,at_home,2,False,4.0
14,14,0,1,yes,316,GP,0,False,False,False,2,other,1,False,3.0
16,15,0,1,yes,317,GP,0,False,False,False,1,at_home,1,True,3.33
12,12,0,1,yes,318,GP,0,False,False,False,3,services,2,False,2.0
9,12,0,0,no,319,GP,0,False,False,False,1,other,1,False,1.0
12,11,0,1,yes,320,GP,0,True,True,False,4,teacher,1,False,2.0
12,14,1,1,yes,321,GP,0,True,False,False,1,health,1,True,2.33
15,13,0,1,yes,322,GP,0,False,False,False,1,other,1,True,3.0
8,9,1,0,no,323,GP,0,False,False,False,3,services,4,True,1.0
10,10,0,1,yes,324,GP,0,True,True,False,2,teacher,1,False,1.0
10,10,0,0,no,325,GP,0,False,True,True,4,at_home,2,False,1.0
11,11,0,1,yes,326,GP,0,True,True,False,4,services,2,False,1.0
13,13,0,1,yes,327,GP,0,False,True,False,4,teacher,3,False,2.33
17,17,0,1,yes,328,GP,0,False,False,True,1,at_home,1,True,4.0
13,12,0,1,yes,329,GP,0,False,False,True,1,other,1,False,2.33
12,12,0,1,yes,330,GP,0,False,False,False,2,other,1,False,2.67
13,12,0,1,yes,331,GP,0,False,False,False,1,other,1,True,2.67
12,12,0,1,yes,332,GP,0,False,False,True,2,other,1,True,2.0
18,18,0,1,yes,333,GP,0,False,False,False,2,at_home,1,False,4.0
13,13,0,1,yes,334,GP,0,False,False,True,1,services,1,True,2.67
15,14,0,1,yes,335,GP,0,False,False,False,3,services,1,True,3.0
17,17,0,1,yes,336,GP,0,True,False,False,1,teacher,1,True,3.67
16,15,0,1,yes,337,GP,0,True,False,False,4,teacher,1,False,3.33
18,17,0,1,yes,338,GP,0,True,False,False,2,health,1,True,4.0
19,18,0,1,yes,339,GP,0,False,False,False,1,services,1,True,4.0
15,14,0,1,yes,340,GP,0,False,False,False,1,services,1,True,3.0
15,14,0,1,yes,341,GP,0,False,True,False,3,health,1,False,3.0
13,14,0,1,yes,342,GP,0,True,False,False,3,health,2,True,2.33
14,13,0,1,yes,343,GP,0,True,False,False,2,other,1,False,2.67
17,16,0,1,yes,344,GP,0,True,False,False,1,other,1,True,3.67
18,18,0,1,yes,345,GP,0,True,True,False,2,teacher,2,False,3.67
15,14,0,1,yes,346,GP,0,True,False,False,1,health,1,False,3.0
13,12,0,1,yes,347,GP,0,True,True,False,2,other,2,False,2.33
7,7,0,1,yes,348,GP,0,True,False,False,1,services,1,True,0.0
16,16,0,1,yes,349,GP,0,True,False,False,1,other,1,True,3.33
18,18,0,1,yes,350,GP,0,False,False,False,2,health,1,True,4.0
10,9,1,1,yes,351,GP,0,False,False,False,1,at_home,1,False,1.0
15,14,2,1,yes,352,GP,0,False,True,False,1,services,1,False,3.0
10,10,0,1,yes,353,GP,0,False,False,False,2,other,1,True,1.0
10,10,0,1,yes,354,GP,0,False,False,True,2,other,1,False,1.0
12,12,0,1,yes,355,GP,0,False,False,False,2,services,1,False,3.0
12,11,0,1,yes,356,GP,0,False,False,False,1,other,1,False,2.67
16,15,0,1,yes,357,GP,0,True,True,False,1,teacher,1,False,3.67
15,14,0,1,yes,358,GP,0,True,False,False,1,other,1,False,3.67
12,12,0,1,yes,359,GP,0,True,True,False,4,health,1,False,3.0
15,15,0,1,yes,360,GP,0,False,False,False,5,at_home,2,False,3.67
12,11,0,1,yes,361,GP,0,False,False,False,1,at_home,1,False,2.67
10,11,0,1,yes,362,GP,0,True,False,False,1,health,1,False,1.0
11,12,0,1,yes,363,GP,0,True,False,False,3,teacher,3,False,2.33
12,11,0,1,yes,364,GP,0,False,True,False,1,other,1,False,2.67
15,14,0,1,yes,365,GP,0,True,True,False,2,health,1,False,3.67
14,15,0,1,yes,366,GP,0,True,False,False,2,services,1,False,3.67
12,12,0,1,yes,367,GP,0,False,False,False,1,services,1,False,2.33
12,11,0,1,yes,368,GP,0,False,False,False,2,other,2,False,2.67
9,8,0,1,yes,369,GP,0,True,True,False,4,other,3,True,1.0
10,10,0,0,no,370,GP,0,False,False,True,3,other,4,False,1.0
8,8,2,1,yes,371,GP,0,False,False,True,1,other,1,False,0.0
10,10,0,1,yes,372,GP,0,False,True,False,4,other,2,False,1.0
13,14,0,1,yes,373,GP,0,False,False,False,1,other,1,False,2.33
11,11,0,1,yes,374,GP,0,False,False,False,2,services,2,False,1.0
18,17,0,1,yes,375,GP,0,False,False,False,3,services,2,False,3.67
14,14,0,1,yes,376,GP,0,False,False,False,3,at_home,2,False,3.0
14,14,0,1,yes,377,GP,0,False,False,True,2,other,1,False,2.67
