student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,guardian,travel_time,study_time,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade,school_encoded,sex_encoded,address_type_encoded,family_size_encoded,parent_status_encoded,mother_education_higher education,mother_education_none,mother_education_primary education (4th grade),mother_education_secondary education,father_education_higher education,father_education_none,father_education_primary education (4th grade),father_education_secondary education,mother_job_health,mother_job_other,mother_job_services,mother_job_teacher,father_job_health,father_job_other,father_job_services,father_job_teacher,school_choice_reason_home,school_choice_reason_other,school_choice_reason_reputation,guardian_mother,guardian_other,travel_time_30 min. to 1 hour,travel_time_<15 min.,travel_time_>1 hour,study_time_5 to 10 hours,study_time_<2 hours,study_time_>10 hours,school_support_encoded,family_support_encoded,extra_paid_classes_encoded,activities_encoded,nursery_school_encoded,higher_ed_encoded,internet_access_encoded,romantic_relationship_encoded
11,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,0,0,1,0,1,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0,1,0,0,1,1,1,0
12,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,0,0,1,0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,0,1,0,1,1,1,1,0
13,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,course,father,<15 min.,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,0,1,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0,1,0,1,1,1,1,0
14,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,0,1,1,0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,1,1,1,0
15,GP,M,15,Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,home,other,<15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,0,1,0,0,1,1,1,1
16,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,health,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,0,0,1,0,1,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,0,1,0,0,1,1,1,0
17,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,0,0,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,0,1,0,1,1,1,1,0
18,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,reputation,mother,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,0,0,1,0,1,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,1,1,0,1,1,1,0,0
19,GP,M,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,course,mother,<15 min.,<2 hours,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,0,1,1,0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,0,1,1,1,1,1,1,0
20,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,home,father,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,0,1,1,1,1,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,0,0,0,1,1,1,1,0
21,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,reputation,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,0,1,1,0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,0,0,0,0,1,1,1,0
22,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,health,other,father,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,0,1,1,0,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0,1,1,0,1,1,1,0
23,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,0,1,1,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,1,1,1,0
24,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,0,1,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,0,1,0,1,1,1,1,0
25,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,0,0,0,0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,1,1,0,1,1,1,1,0
26,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,mother,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,0,1,0,0,0,1,1,0
27,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,0,1,1,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,0,1,0,0,1,1,1,0
28,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,other,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,0,1,1,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,0,0,0,0,1,1,1,0
29,GP,M,16,Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,home,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,0,1,1,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,1,1,1,1,1,1,1,0
30,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,0,1,1,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,0,1,1,1,1,1,1,1
31,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,0,1,1,0,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,0,1,1,0,0,1,1,0
32,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,0,1,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,0,1,0,1,1,1,1,0
33,GP,M,15,Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,0,1,0,0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,1,0,1,1,1,1,1
34,GP,M,15,Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,0,1,1,1,1,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,0,1,1,0
35,GP,M,16,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,0,1,1,0,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,0,1,0,0,0,1,1,0
36,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min.,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,0,0,1,0,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0,1,0,1,1,1,0,0
37,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,0,1,1,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,0,1,0,1,1,1,1,0
38,GP,M,16,Rural,Greater than 3,Apart,higher education,higher education,other,teacher,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,0,1,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,0,1,0,1,1,1,1,1
39,GP,F,15,Rural,Greater than 3,Living together,secondary education,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,0,0,0,0,1,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,1,1,0,1,1,1,1,0
40,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,<15 min.,<2 hours,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,1,1,0,1,1,1,0,0
41,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,0,0,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,0,1,0,1,0,1,1,1
42,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,home,other,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,0,1,1,1,1,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,0,1,0,0,0,1,1,1
43,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,course,father,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,0,1,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0,1,0,1,1,1,1,0
44,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,father,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,0,1,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,1,1,0,0,1,1,1,0
45,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,course,father,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,0,0,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,1,1,1,1,0
46,GP,F,15,Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,0,0,1,1,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1,1,1,1,1,1,1,1
47,GP,F,16,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,0,0,1,1,0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,0,1,0,0,1,1,1,0
48,GP,M,16,Urban,Greater than 3,Living together,higher education,secondary education,health,services,reputation,mother,<15 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,0,1,1,0,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,0,0,0,1,1,1,1,0
49,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0,1,0,0,1,1,0,0
50,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,0,0,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,1,1,0,1,0,1,1,0
51,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,0,0,1,1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0,0,1,1,1,0
52,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,0,0,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,0,1,0,0,1,1,1,0
53,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,other,father,15 to 30 min.,<2 hours,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,0,1,1,1,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,0,0,1,1,0,0
54,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,course,mother,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,0,0,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1,1,0,0,1,1,1,0
55,GP,F,15,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,other,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,0,0,1,1,0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,0,0,0,0,1,1,1,0
56,GP,F,16,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,other,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,0,0,1,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,0,0,0,1,1,1,1,1
57,GP,F,15,Urban,Greater than 3,Apart,higher education,secondary education,services,services,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,0,0,1,0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,0,1,0,1,1,1,1,0
58,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,0,1,1,0,1,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0,1,0,1,1,1,0,0
59,GP,M,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,home,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,0,1,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1,1,0,1,1,1,1,0
60,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,0,0,1,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0,1,1,0,1,1,1,0
61,GP,F,16,Rural,Greater than 3,Living together,higher education,higher education,health,teacher,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,0,0,0,0,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0,1,0,1,1,1,0,0
62,GP,F,16,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,course,father,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,0,0,1,0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1,1,0,1,0,1,1,1
63,GP,F,16,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,reputation,father,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,0,0,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1,0,0,1,1,1,1,0
64,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,teacher,health,home,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,0,0,1,0,1,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,1,1,0,1,1,1,1,0
65,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,services,reputation,father,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,0,0,1,1,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1,0,0,1,1,1,1,1
66,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,0,0,1,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0,1,1,1,1,0
67,GP,M,15,Urban,Greater than 3,Apart,higher education,higher education,other,services,reputation,mother,<15 min.,>10 hours,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,0,1,1,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,0,1,0,1,0,1,1,1
68,GP,F,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,other,course,mother,<15 min.,>10 hours,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,0,0,1,0,1,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,1,1,0,0,1,1,1,0
69,GP,F,15,Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,health,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,0,0,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,1,1,0,0,1,1,1,0
70,GP,F,15,Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,>10 hours,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,0,0,0,1,1,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0,1,0,0,0,1,1,0
